criteria_id,criteria_scope,criteria_description,sub_dimension_id
3.3.3,"	Connectivity (wireless, PN, routing etc.)","It is evaluated the ability to establish and maintain reliable and secure communication channels between different devices, systems, networks and stakeholders, across AO, e.g. high-quality connections with ultra large bandwidth, ultra long distances, ultra-low latency, ultra-high security, ultra-high reliability, flexibility and adjustability, and green energy conservation.

It includes, amongst others the hardware and software elements which make up the networking and physical communications links used by a system as well as other systems connected to the network  e.g. routing,wireless.

Routing: determining end-to-end paths in the network when data or packet from source  to destination  

Wireless: long distance transmission and communication between network nodes, not through conductors or cables, instead using radios in the air.",3.3
3.3.4,"Virtualization (Computing Virtualization,Storage Virtualization,Network Virtualization)","It is evaluated how redundant and scalable virtualized resources are.

In the Cloud, large amounts of computing and storage resources are pooled to serve users with various demands.

Abstracting network resources that were traditionally delivered in hardware to software.",3.3
3.3.5,"Infrastructure (Data Center, Cooling, etc.)","It is evaluated how AO infrastructure is managed effectively, throughout its lifecycle.

Infrastructure includes data center, CPUs/GPUs, machine room environment and the relevant resources (power and air conditioning) for conducting internet business, as well as various value-added services, offering the required computing power while establishing the future computing trade platform.",3.3
3.3.6,Cloud/Edge/Multi-Tenancy,"It is evaluated the degree that cloud or edge is used for AO.

AO consume the resources they require in a global, multi-tenant environment, allowing for efficiencies.

For example,

for 'Autonomous Network-as-a- Platform' Service, the cloud is a must
for organization specific AO, the cloud is a choise, though it provides advantages of cost, collaboration, efficiencies, etc.
for mission critical applications in manufacturing industry, the edge allows for high accuracy insights at the point of interest.


Multi-tenancy capabilities are used in offering AO services to a diversified business/private customer base.",3.3
3.3.7,IoT,"It evaluates how effectively and efficiently the system is connected with device manufacturers, IoT platform and solution providers in order to create and deliver vertical services over AO, e.g. for  'Drone-as-a-Platform' Service. Involve the respective stakeholders e.g. Network Operator(s),  Customers, Device Manufactures, letting them communicate with the platform using specific IoT technolgy.

The selection of IoT technology can be application specific. However, for leading AO, IoT technology needs to be leading, too.",3.3
3.4.1,Business Requirements Analysis & Project Planning,"It evaluates how effectively and efficiently:

a) Business Requirements (Business Architecture) are translated into AO functional and technical capabilities (Technology Architecture).

b) AO initiative requirements and specifications (products, services, processes, capabilities) are defined according to AO strategic objectives.

c) Feasibility study and project chart/planning services are provided.

d) Specific project enablers and risks are assessed.

e) AO related metrics are defined to measure the success of AO.",3.4
3.4.2,Design & Development,"It evaluates how Design and Development of the AO initiative, and the related SW and HW components (apps, data, AI/ML models, infrastructure) as well as the required capacity and integrations, is implemented, across any environment (production, test, etc.).

It includes best practices, evaluation and testing, risk mitigation, and adjustment as per risk performance.",3.4
3.4.3,Deployment & Production,"It evaluates how mature is the process of operationalizing and deploying relevant and business-critical autonomous systems and operations. It includes assessment of the following processes:

Configuration Management
Change Management 
Monitoring & Event Management
Incident Management
Problem Management
Service Desk Management",3.4
3.4.4,Maintenance,"The process of AO maintainace and monitoring is evaluated against.

Performance Management
Knowledge Management
Maintenance Requests Management
Dicommissioning",3.4
4.1.1,Detect anomaly event,The ability to automate the network operations; for example monitoring network and detecting anomaly based on the pattern behavior.,4.1
4.1.2,Demarcate and locate root-cause,"The ability to perform anomal analysis through troubleshooting operations which includes demarcation, root-cause analysis, and problem locating.",4.1
4.1.3,Formulate and decide solution,The ability to formulate solution options and decide on the optimized solution for anomaly recovery.,4.1
4.1.4,Execute solution,The ability to execute the decided solution or automate the dispatch of an appropriate FME onsite for problem recovery. The execution ability also includes the automation of part of the resolution procedure such as self-configuring. ,4.1
4.2.1,Detect customer network experience issue.,The ability to detect and identify customer network experience issues.,4.2
4.2.2,Determine root-cause,"The ability to perform anomaly analysis through troubleshooting operations which includes demarcation, root-cause analysis, and problem locating.",4.2
4.2.3,Determine corrective action,"The ability to formulate, evaluate and determine an optimal corrective action gathered from the analysis stage.",4.2
4.2.4,Implement Corrective Action,The ability to implement the corrective action based on the selected solution and validate that the issue is resolved.,4.2
4.3.1,Customer complaint pre-handling,The ability to be aware and identify the nature of customer complaints as part of  the customer complaint pre-handling stage.,4.3
4.3.2,Identify complaint root-cause,"The ability to analyze the complaint which includes complaint demarcation, root-cause analysis, and problem locating.",4.3
4.3.3,Develop corrective action plan,The ability to develop corrective action plan based on the information analyzed to address the customer complaint.,4.3
4.3.4,Execute action plan,The ability to implement customer complaint corrective action plan and verify customer network experience problem is resolved,4.3
4.4.1,Identify customer value gaps and goals,"The ability to identify customers' desire, expectation and their level of satisfaction with the products and services they use. Such information is used for customer value gaps analysis purpose.",4.4
4.4.2,Develop value improvement plan,The ability to create customer segmentation based on customer intent and consumption behavior throughout the customer journey. Analyze value improvement key drivers for each customer segment and identify the target customer segments for prioritized value enhancement.,4.4
4.4.3,Design products and programs,"The ability to design appropriate products to close the product gaps based on the key drivers of the target customer segments.
Develop marketing programs for target customers with consideration which include offers, channels and timing, as well as budget, plan, management and control.",4.4
4.4.4,Execute programs,"The ability to execute programs by utilizing customer segmentation, next best offers, event-based campaigns, channels, and collaterals. Track program performance and optimize it by considering customer selection, offer relevance, channel effectiveness, and collateral combination to enhance campaign efficiency, effectiveness and achieve business objectives.",4.4
4.5.1,Energy savings through optimization in service delivery operations i.e. network and applications essential for service delivery while retaining expected customer/service experience.,"Telecom service delivery needs operations of significant indoor (Network equipment, data center, applications and tools) and outdoor resources (active fibre, eNodeB etc) that are heavily dependent upon external source of energy. Therefore objective is to optimize operations in such a way that energy consumption is minimize as compared to energy needs in conventional operational methods.",4.5
4.5.2,"Energy saving in support function operations e.g. Call Center Building, Knowledge Management, Revenue Assurance, Business Analytics etc through intelligent optimization and end to end process automation.","Communication service providers need to run significant support functions, apart from core service delivery functions to enable delivery of services and managing business  functions ( e.g. Call Center Building, Knowledge Management, Revenue Assurance, Business Analytics). Intelligent technology adapatation and autonomous control mechanism can help in significvantly reducing energy in such business functions.",4.5
4.6.1,Validate received order,"Order received from customer needs to be validated from various perspective e.g. Data completeness, Feasibility & Availability, Schedule validation etc.",4.6
4.6.2,Decomposition and resource reservation,Customer order needs to be decomposed for further processing and resource needs to be reserved against the order,4.6
4.6.3,Exception handling & jeopardy management,"During fulfilment journey multiple types of exception occur, some of those are internal to CSP and some require partner intervention",4.6
4.6.4,Service activation and inventory synchronization,"In last leg or service fulfilment, service needs to be activated in resources and respective inventory needs to be updated. In case of rollback inventory needs to be cleaned up/released",4.6
5.1.1,Innovation spirit,Mindset that actively seeks to implement AO rather than waiting to adapt to AO,5.1
5.1.2,Innovation investment,"The organization prioritizes the resources required for innovation related to AO within its culture (people, tools, budget etc.)",5.1
5.1.3,Innovative team,The organization is able to foster innovative teams that  produce great ideas and soar to new heights in relationship with AO. ,5.1
5.1.4,Transparency and Sharing,The organization adopts and implements fully transparent innovation framework and related practices to develop AO.,5.1
5.2.1,Quality Management,The act of overseeing all activities (focus to AO) and tasks (focus to AO) that must be accomplished to maintain a desired level of excellence.,5.2
5.2.2,Risk reduction / elimination  Measures,"Action, procedure or contrivance designed to lower or prevent the occurrence of AO defects.",5.2
5.2.3,Effective Delivery Adoption,The AO process of preparing and delivering customers' requirements first time and every time. ,5.2
5.2.4,Skill Development,"The organization is able to provide short term to long term AO skill development (learning,  training, practicing and measurement) to enable professional and accurate work for the business",5.2
5.3.1,Leadership,Leadership creates and drives an AO culture that enables the organization to continually adapt and optimize its operations to its environment and stakeholder needs.,5.3
5.3.2,AO Mindset,The general attitudes and the way they typically think about things with AO as one of the prime consideration. ,5.3
5.3.3,Setting & Embedding Business Values,"Organizational puts AO as one of the most important focuses so to shape organizational culture, behaviors and mindsets. When aligned and embedded, it is a competitive advantage that can engage the workforce to create tangible business values. Also, creating a positive climate amongst stakeholders and allowing for greater transparency.",5.3
5.4.1,Organization Vision Alignment,The process of creating unity between the company’s AO vision of success and the way leaders and individual contributors drive business results.,5.4
5.4.2,Customer Centricity,The organisation's shared AO value and Zero-X initiatives are aligned to deliver an optimal customer experience.,5.4
5.4.3,Organization Framework & Methodologies,"The organisation has the ability to choose the right frameworks and methodologies (including reward and performance review) which supports the AO vision. 

And align across the company culture and vision. ",5.4
5.5.1,Working Environment,The condition or space that can facilitate staff to work in AO and can produce goods and services that is both innovative and in superior quality. ,5.5
5.5.2,Supporting Tools,A piece of equipment or a system or a software application that can facilitate staff to work in AO and can produce goods and services that is both innovative and in superior quality. ,5.5
5.5.3,Corporate Policies,"The set principles, guidelines, performance and reward system that can facilitate staff to work in AO and can produce goods and services that is both innovative and in superior quality. ",5.5
5.5.4,Knowledge Capturing,"The method to record and retrieve  'understanding or skill gained by experience'	",5.5
5.5.5,Knowledge Sharing,Purposely pass to others on  'Understanding or skill gained by experience' ,5.5
6.1.1,Data Creation & Collection,The process of gathering data and creation from various sources in an established systematic fashion that enables AO to be effectively implement within the organization. ,6.1
6.1.2,Data Transmission,The process of transferring data from a source to a destination over one or more data links according to a certain protocol. ,6.1
6.1.3,Data Storage,"The process of recording data  in a certain format within or on the external storage media of a computer, which  reflects the characteristics of static data in the system.",6.1
6.1.4,Data Consumption,"The process of identifying stakeholders of Data (Data Users and Data Owner) so that meaningful analyses,  authorization and de-identified can be established.",6.1
6.1.5,Data Sharing,"The process to  allow users who use different computers and software in different locations to read and perform various operations, calculations, and analyses on others' data.",6.1
6.1.6,Data Retirement,"The process to evaluate the life-span of the data for the use of AO. Also, when come to the end of the life-span, the process of data archiving and the process to approve the destruction of the data and the actual process to destroy.",6.1
6.2.1,Data Accuracy,Error-free records that can be used as a reliable source of information to establish AO with quality results.,6.2
6.2.2,Data Completeness,Both the data model and data sets have complete information to establish AO with quality results. ,6.2
6.2.3,Data Unbiasing,"The capability of noise reduction of the multidimensional orginal data such as alarms, performance, work order and logs to ensure rigorous fairness, ethical standards and equitable decision-making.",6.2
6.2.4,Data Structuring,"The capability to format the data for organizing, processing, retrieving and storing data for AO.",6.2
6.2.5,Data Consistency,The  capability to ensure that data is not lost or corrupted as it travels throughout the system to establish AO with quality results. ,6.2
6.3.1,Data Backup,The process of duplicating data to allow retrieval of the duplicate set after a data loss event to allow AO function with minimum impact. ,6.3
6.3.2,Data Recovery,"The process of recovering data that has been lost, accidentally deleted, corrupted or made inaccessible for AO.",6.3
6.3.3,Data Governance,"The process of conducting an official examination of the quality, condition and protection of datasets required to regulatory compliance.",6.3
6.3.4,Data Protection,"Data protection is ensured through a zero-trust security model, which guarantees the security, integrity, and privacy of data under all circumstances.",6.3
6.3.5,Data Access," Under the security rules or policies set by governance?users can only access the resources they are authorized to access, can modify their own data while preventing any impact on other users' or programs' data.",6.3
6.4.1,Data Monetization Capability,Data Monetization Capability refers to an organization’s ability to generate revenue from its data assets.,6.4
6.4.2,Data Commercialization,"The data products offered by data companies, which include both raw and prepared data. The quality of these products profoundly affects the value of any subsequent products derived from them.",6.4
6.4.3,Insights  Commercialization,"Reports and analyses are crucial tools for informing and enhancing business processes and decision-making. They offer dashboards, visualization tools, and cloud-based content powered by sophisticated data packaging engines, enabling users to grasp data trends and insights. 	",6.4
6.4.4,Actionable Commercialization,"Assist companies in turning insights into actionable strategies by streamlining processes design and process execution, thereby achieving business objectives.",6.4
