cla_id,cla_level1_id,cla_level1_description,cla_level2_id,cla_level2_description,cla_level3_id,cla_level3_description,cla_level1_id,cla_level4_description,cla_level5_id,cla_level5_description,question_id,criteria_id
1.2.4,1.2.4.1,Customer onboarding is manually assisted by an agent.,1.2.4.2,Customer onboarding is partially automated via self-service.,1.2.4.3,Customer onboarding is workflow-driven (via agent or self-service).,1.2.4.4,Customer onboarding is AI/ML-driven with best available options offered as priority choice.,1.2.4.5,Customer onboarding is fully automated (seamless experience for the customer).,1.2.4,1.2.4
1.2.5,1.2.5.1,Main channel is agent-assisted and the interaction is poorly automated.,1.2.5.2,"Self-care is offered as an alternative to agent interaction. Session is transferred to an agent on customer demand, only if self-service fails.",1.2.5.3,"Self-service is offered as an alternative to agent interaction. When session has to be transferred to an agent, full context is automatically passed to resume the interaction where it failed.",1.2.5.4,"Self-service is primary channel, offering some capabilities equivalent to the agent-led interaction, enabled by intelligent automation.",1.2.5.5,"Self-care is primary channel, offering all capabilities enabled by intelligent automation.",1.2.5,1.2.5
1.2.6,1.2.6.1,Customer journey is initially designed to address main use cases.,1.2.6.2,In-depth look into the customers’ journey does help establish patterns and understand behavior. This is done on a ad hoc basis.,1.2.6.3,"In-depth look into the customers’ journey is done on a regular basis. If issue is identified, redesign is recommended.",1.2.6.4,Customer journey of a cohort is being analyzed by AI/ML to help optimizing its redesign for a better user experience.,1.2.6.5,Customer journey is automatically optimized based on the measured CX / QoE.,1.2.6,1.2.6
1.3.1,1.3.1.1,Customer segments are initially defined to address marketing purposes.,1.3.1.2,Customer profiling is made on usage patterns. This is done on ad hoc basis.,1.3.1.3,Customer profiling is made on usage patterns. This is done on a regular basis. Customer portrait is used by customer operations to better engage.,1.3.1.4,Customer portrait or profiling of a cohort is being performed by AI/ML to help customer operations understand customer expectations.,1.3.1.5,Customer digital personas are automatically identified by AI/ML and available for customer operations to proactively engage.,1.3.1,1.3.1
1.3.2,1.3.2.1,Customer scoring is initially calculated for marketing purposes.,1.3.2.2,"Customer scoring is combining multiple inputs such as: credit worthiness, lifetime value etc.. This is done on ad hoc basis.",1.3.2.3,Customer scoring is calculated as a combination of multiple inputs. This is done on a regular basis. It is used by customer operations to better engage.,1.3.2.4,Customer scoring is automatically calculated based on complex rules for a cohort to help customer operations understand how to better engage.,1.3.2.5,Customer scoring is automatically updated by AI/ML and available for customer operations to proactively engage.,1.3.2,1.3.2
1.3.3,1.3.3.1,Every touchpoint of the customer journey is providing customer insights to be collected and analyzed.,1.3.3.2,In-depth look into the customers’ journey at every touchpoint does help establish patterns and understand behavior. This is done on a ad hoc basis.,1.3.3.3,In-depth look into the customers’ journey at every touchpoint is done on a regular basis. Insights are used by customer operations to better engage.,1.3.3.4,Insights from every touchpoint of the customer journey of a cohort are being analyzed by AI/ML to help customer operations understand how to better engage.,1.3.3.5,Insights from every touchpoint of the customer journey are automatically computed by AI/ML and available for customer operations to proactively engage.,1.3.3,1.3.3
1.3.4,1.3.4.1,Customer insights are collected manually and available in CRM system.,1.3.4.2,Customer insights are collected automatically from multiple data sources and available in a single pane of glass.,1.3.4.3,Customer insights (automatically collected) are extended to historical data and KPIs based on customer-based quality indicators.,1.3.4.4,Customer insights are extended to recommendations automatically generated based on collected data from customer.,1.3.4.5,Customer insights includes recommendations automatically generated by AI based on collected data and intelligently presented to customer operations for their purposes.,1.3.4,1.3.4
1.3.5,1.3.5.1,"Customer feedback is manually collected, and analyzed on ad hoc basis for specific performance analysis campaigns.",1.3.5.2,Customer feedback is automatically captured and qualified on every interaction. It is used to guide the customer operations handling process.,1.3.5.3,Customer complaint is automatically analyzed - including tone in use during conversation (with agent or machine). It is used to adjust the response to customer request.,1.3.5.4,Customer sentiment is automatically captured by AI from his recent interaction. It is used to adjust the agent or machine behavior in customer handling.,1.3.5.5,Customer feedback is automatically captured by AI from customer recent interaction. It is used to predict what could be the next best experience for the customer.,1.3.5,1.3.5
1.3.6,1.3.6.1,Customer intent is manually captured at interaction initiation. Shifts from asking “what” customers are doing to “why” they are doing it.,1.3.6.2,Customer intent is captured and this triggers recommended path for customer operations.,1.3.6.3,Customer intent is captured and next best action is recommended by AI  for customer operations.,1.3.6.4,Customer intent is predicted by AI and available for customer operations.,1.3.6.5,Customer intent is predicted by AI which elaborates a recommendation for the next best action.,1.3.6,1.3.6
1.4.1,1.4.1.1,"Intelligent automation enables simplified assisted care, and enables personalized care to build customer trust when searching for support.",1.4.1.2,Intelligent automation enables to anticipate and resolve customer issues before they escalate or before a customer realizes a problem exists. (Proactive care),1.4.1.3,Intelligent automation enables identify and address potential impacting issues (as opposed to waiting for customers to reach out and ask for help). (Preventive care),1.4.1.4,Intelligent automation enables predicting which customers will contact support for issues (Predictive care),1.4.1.5,Intelligent automation enables using data to implement all the possible actions to prevent contacts from happening (e.g. with a proactive campaign to notify customers) or to deflect them to a click-button solution (e.g. proactively push to self-service via a SMS providing automated resolution).(Preemptive care),1.4.1,1.4.1
1.4.2,1.4.2.1,"The verification for the customer that the promise is kept (based on commitment for certain service levels for example) is made on an ad hoc basis.
This is used to comply with regulation or if customer complains.",1.4.2.2,"Proactive checks are made on certain service levels according to agreed metrics or KPIs on a regular basis. 
This is one-shot verification at individual customer level, used by care agent for commercial gesture when customer complains.",1.4.2.3,"Proactive checks are automated for SLA verification on a certain customer segment initially (e.g. VIPs).
This information (and historical trends associated) is used by customer operations for commercial gesture.",1.4.2.4,"Intelligent automation enables continuous monitoring of agreed metrics or KPIs for SLA verification on particular customers under surveillance (e.g. VIPs).
This information is transparently shared with those customers.",1.4.2.5,"Intelligent automation enables continuous monitoring of agreed metrics or KPIs for verification of SLA commitments for all customers.
This information is transparently shared with customers.",1.4.2,1.4.2
1.4.3,1.4.3.1,"Privacy and ethical use of customer data is a commitment from the organization, based on regulatory rules.",1.4.3.2,Security of customer data is defined as a  priority for the organization. Cybersecurity is driving key transformation initiatives.,1.4.3.3,"Monitoring and control of privacy and ethical use of customer data is ensured by the organization.
Security breach or customer info leakage is not reported to the customer.",1.4.3.4,"Automated monitoring and control of privacy and ethical use of customer data is ensured by the organization.
Security breach or customer info leakage is reported to the customer with a fix proposal (on ad hoc basis).",1.4.3.5,"Automated monitoring and control of privacy and ethical use of customer data is ensured by the organization.
Any security breach or customer info leakage is consistently reported to the customer with a fix proposal.",1.4.3,1.4.3
1.5.1,1.5.1.1,Onboarding of a new B2B2X partner is fully manual via an agent.,1.5.1.2,Onboarding of a new B2B2X partner is manual from a self-service portal or via an agent.,1.5.1.3,Onboarding of a new B2B2X partner is partially automated from a guided self-service portal.,1.5.1.4,Onboarding of a new B2B2X partner is partially automated from a guided self-service portal or app.,1.5.1.5,Onboarding of a new B2B2X partner is fully automated (e.g. self-service portal or app with guided workflow for onboarding process).,1.5.1,1.5.1
1.5.2,1.5.2.1,Fulfilment for a new B2B2X partner is fully manual via an agent.,1.5.2.2,Fulfilment for a new B2B2X partner is available from a self-service portal or via an agent.,1.5.2.3,Fulfilment for a new B2B2X partner is partially automated from a guided self-service portal.,1.5.2.4,Fulfilment for a new B2B2X partner is partially automated from a guided self-service portal or app.,1.5.2.5,Fulfilment for a new B2B2X partner is fully automated (e.g. Telco-As-A-Platform experience).,1.5.2,1.5.2
1.5.3,1.5.3.1,Support offered to B2B2X partner is via agent-based assisted care only (one channel).,1.5.3.2,Support offered to B2B2X partner is available via self-portal or agent-based.,1.5.3.3,"Support offered to B2B2X partner is available from self-service app, self-portal or agent-based.",1.5.3.4,Support offered to B2B2X partner is available from various channels and some cases are proactively taken care of.,1.5.3.5,Proactive care is operational for B2B2X partner (e.g. preventive maintenance in place).,1.5.3,1.5.3
1.5.4,1.5.4.1,B2B2X partner satisfaction is manually collected and analyzed on ad hoc basis.,1.5.4.2,B2B2X partner satisfaction is automatically collected and analyzed on a regular basis.,1.5.4.3,B2B2X partner satisfaction trends are analyzed and information is shared with partner on ad hoc basis.,1.5.4.4,B2B2X partner satisfaction trends are automatically analyzed and information is shared with partner on regular basis.,1.5.4.5,B2B2X partner satisfaction is automatically collected and used for continuous improvement.,1.5.4,1.5.4
1.5.5,1.5.5.1,B2B2X partner is given value analysis on ad hoc basis.,1.5.5.2,B2B2X partner value is automatically computed on a regular basis.,1.5.5.3,B2B2X partner value trends are analyzed and information is shared with partner on ad hoc basis.,1.5.5.4,B2B2X partner value trends are automatically analyzed and information is shared with partner on regular basis.,1.5.5.5,B2B2X partner value is automatically computed and used for continuous improvement.,1.5.5,1.5.5
1.6.1,1.6.1.1,Enhanced security is implemented on an ad-hoc basis.,1.6.1.2,Enhanced security is implemented by autonomous operations in some functions.,1.6.1.3,Enhanced security is implemented by autonomous operations in most functions.,1.6.1.4,Enhanced security is implemented by autonomous operations within the organization,1.6.1.5,Enhanced security is implemented by autonomous operations within the organization and its ecosystem.,1.6.1,1.6.1
1.6.2,1.6.2.1,Party ability to upgrade skills is available on an ad-hoc basis.,1.6.2.2,Party ability to upgrade skills is available in some functions.,1.6.2.3,Party ability to upgrade skills is available in most functions.,1.6.2.4,Party ability to upgrade skills is available within the organization.,1.6.2.5,Party ability to upgrade skills is available within the organization and its ecosystem.,1.6.2,1.6.2
1.6.3,1.6.3.1,The Party still perform some monotonous and repetitive tasks on ad hoc basis. Job satisfaction is achieved on an ad-hoc basis.,1.6.3.2,Job satisfaction is achieved in some functions.,1.6.3.3,Job satisfaction is achieved in most functions.,1.6.3.4,Job satisfaction is achieved within the organization.,1.6.3.5,Job satisfaction is achieved within the organization and its ecosystem.,1.6.3,1.6.3
1.6.4,1.6.4.1,Very few percentage  of all staff is measuring efficiency gains & productivity improvement.,1.6.4.2,Staff is measuring efficiency gains & productivity improvement in some functions,1.6.4.3,Staff is measuring efficiency gains & productivity improvement in most functions,1.6.4.4,Most of the staff within the organization is measuring efficiency gains & productivity improvement,1.6.4.5,Most of the staff within the organization and its ecosystem is  measuring efficiency gains & productivity improvement,1.6.4,1.6.4
1.6.5,1.6.5.1,Most of the staff need to adapt job and role redesign is ongoing,1.6.5.2,"Job redesign is required in some functions, job mapping is achieved for some functions",1.6.5.3,Job redesign is achieved in most functions,1.6.5.4,Job redesign is achieved within the organization,1.6.5.5,Job redesign is achieved within the organization and its ecosystem,1.6.5,1.6.5
1.6.6,1.6.6.1,Very few percentage  of all staff have been onboarded on AO journey (awareness of AO only),1.6.6.2,Staff is experimenting new processes and tools in their current role in some functions,1.6.6.3,Staff does use AO in their current role in most functions,1.6.6.4,Most of the staff within the organization do experience AO empowerment in their current role,1.6.6.5,Most of the staff within the organization and its ecosystem do experience AO empowerment in their current role,1.6.6,1.6.6
1.6.7,1.6.7.1,Very few percentage  of all staff is working towards innovation and continuous improvement within the organization,1.6.7.2,Staff does work towards innovation and continuous improvement in some functions,1.6.7.3,Staff does work towards innovation and continuous improvement in most functions,1.6.7.4,Most of the staff within the organization do work towards innovation and continuous improvement,1.6.7.5,Most of the staff within the organization and its ecosystem do work towards innovation and continuous improvement,1.6.7,1.6.7
1.6.8,1.6.8.1,Very few percentage  of all staff works in a collaborative way,1.6.8.2,Staff benefits from a collaborative organization in some functions,1.6.8.3,Staff benefits from a collaborative organization in most functions,1.6.8.4,The organization is highly collaborative across all functions,1.6.8.5,The organization and its ecosystem are highly collaborative across all functions,1.6.8,1.6.8
1.7.1,1.7.1.1,Self-installation / configuration of Smart Things is implemented on an ad-hoc basis.,1.7.1.2,Self-installation / configuration of Smart Things is implemented by autonomous operations in some functions.,1.7.1.3,Self-installation / configuration of Smart Things is implemented by autonomous operations in most functions,1.7.1.4,Self-installation / configuration of Smart Things is implemented by autonomous operations within the organization,1.7.1.5,Self-installation / configuration of Smart Things is implemented by autonomous operations within the organization and its ecosystem.,1.7.1,1.7.1
1.7.2,1.7.2.1,Healing enabled by Smart Things integration is implemented on an ad-hoc basis.,1.7.2.2,Healing enabled by Smart Things integration is implemented by autonomous operations in some functions.,1.7.2.3,Healing enabled by Smart Things integration is implemented by autonomous operations in most functions,1.7.2.4,Healing enabled by Smart Things integration is implemented by autonomous operations within the organization,1.7.2.5,Healing enabled by Smart Things integration is implemented by autonomous operations within the organization and its ecosystem.,1.7.2,1.7.2
1.7.3,1.7.3.1,Dynamic adaptation is implemented on an ad-hoc basis.,1.7.3.2,Dynamic adaptation is implemented by autonomous operations in some functions.,1.7.3.3,Dynamic adaptation is implemented by autonomous operations in most functions.,1.7.3.4,Dynamic adaptation is implemented by autonomous operations within the organization,1.7.3.5,Dynamic adaptation is implemented by autonomous operations within the organization and its ecosystem.,1.7.3,1.7.3
1.7.4,1.7.4.1,Autonomous communication and learning are implemented on an ad-hoc basis.,1.7.4.2, Autonomous communication and learning are implemented by autonomous operations in some functions.,1.7.4.3,Autonomous communication and learning are implemented by autonomous operations in most functions.,1.7.4.4,Autonomous communication and learning are implemented by autonomous operations within the organization,1.7.4.5,Autonomous communication and learning are implemented by autonomous operations within the organization and its ecosystem.,1.7.4,1.7.4
1.7.5,1.7.5.1,Safety in machine interactions is implemented on an ad-hoc basis.,1.7.5.2,Safety in machine interactions is implemented by autonomous operations in some functions.,1.7.5.3,Safety in machine interactions is implemented by autonomous operations in most functions.,1.7.5.4,Safety in machine interactions is implemented by autonomous operations within the organization,1.7.5.5,Safety in machine interactions is implemented by autonomous operations within the organization and its ecosystem.,1.7.5,1.7.5
2.1.1,2.1.1.1,The organization does not have a clear AO strategy,2.1.1.2,The organization has started to develop a formal AO strategy,2.1.1.3,There's an AO strategy  in place whose value is generally understood and formalized across the organization,2.1.1.4,"There's an effective AO strategy in place whose value is fully understood, measured and formalized within the organization",2.1.1.5,"There's an effective AO strategy in place whose value is fully understood, measured and formalized across the organization and its ecosystem partners",2.1.1,2.1.1
2.1.2,2.1.2.1,"There is no clear  definition of AO initiatives, within the organization",2.1.2.2,The organization has started to define one or more AO initiatives,2.1.2.3,The organization has most or all of its AO initatives defined,2.1.2.4,The organization has all of its AO initatives optimally defined and modelled as value chains,2.1.2.5,The organization and its ecosystem partners have all their AO initiatives  optimally  defined and modelled as value chains,2.1.2,2.1.2
2.1.3,2.1.3.1,The organization has not embraced any Value Modelling & Design processes,2.1.3.2,The organization has started to adopt Value Modelling & Design processes,2.1.3.3,The organization is applying Value Modelling & Design processes across most functions,2.1.3.4,The organization fully applies Value Modelling & Design processes,2.1.3.5,The organization proactively  applies Value Modelling & Design processes in collaboration with its ecosystem partners,2.1.3,2.1.3
2.1.4,2.1.4.1,The organization does not have a clear business case to justify any AO initiatives,2.1.4.2,The organization has started working on a business case to justify one or more AO initiatives,2.1.4.3,The organization has a business case in place associated with one or more AO initiatives,2.1.4.4,The organization has developed and relies on a business case to drive all AO related initiatives,2.1.4.5,"The organization in collaboration with its ecosystem partners, has developed and relies on a business case to drive all AO related initiatives",2.1.4,2.1.4
2.1.5,2.1.5.1,"The organization has no clear  definition of AO initiatives, within the organization, therefore target value is irrelevant",2.1.5.2,"The organization has started to define one or more AO initiatives within the organization, therefore some target value is already achieved",2.1.5.3,"The organization has defined and implemented most of its AO initatives, therefore the expected value is being realized",2.1.5.4,The organization is achieving its target value realization through an AO enabled operations environment,2.1.5.5,The organization and its ecosystem partners are achieving their target value realization through an AO enabled operations environment,2.1.5,2.1.5
2.1.6,2.1.6.1,The organization does not have any Value Improvement process in place,2.1.6.2,The organization has started to define and implement a Value Improvement process,2.1.6.3,The organization has already a Value Improvement process in place as an approach to manage the performance of its AO strategies,2.1.6.4,The organization has put in place and leverages a continuous value  improvement process to ensure optimal performance of its AO strategies,2.1.6.5,The organization and its ecosystem partners have put in place and leverage a continuous value  improvement process to ensure optimal performance of the organization's AO strategies,2.1.6,2.1.6
2.2.1,2.2.1.1,The organization does not have a Business Architecture Vision in place related to any potential AO initiatives,2.2.1.2,The organization has already started to define a Business Architecture Vision related to one or more AO initiatives,2.2.1.3,The organization has a Business Architecture Vision in place related to one or more AO initiatives,2.2.1.4,The organization has developed and relies on a Business Architecture Vision for AO which guides requirements and specifications for all architecture projects linked to AO strategic objectives,2.2.1.5,"The organization, in collaboration with its ecosystem partners, has developed and relies on a Business Architecture Vision for AO which guides requirements and specifications for all architecture projects linked to AO strategic objectives",2.2.1,2.2.1
2.2.2,2.2.2.1,The organization does not have a Transformation Roadmap in place related to any potential AO initiatives,2.2.2.2,The organization has already started to define a Transformation Roadmap related to one or more AO initiatives,2.2.2.3,The organization has a Transformation Roadmap in place related to one or more AO initiatives,2.2.2.4,The organization has developed and relies on a Transformation Roadmap  to lay out and manage on a time scale any work packages associated with AO initiatives and their business value,2.2.2.5,"The organization, in collaboration with its ecosystem partners, has developed and relies on a Transformation Roadmap to lay out and manage on a time scale any work packages associated with AO initiatives and their business value",2.2.2,2.2.2
2.2.3,2.2.3.1,"The organization has no established operating model for AO, with no clear understanding of the roles, responsibilities, and governance to enable agile design and deployment of use cases for AO.",2.2.3.2,"The organization has an initial AO operating model implemented in silo mode, and developed some processes to leverage AO capabilities.

Some roles and responsibilities have been defined but they are not consistently applied across involved functions.",2.2.3.3,"The organization has a well-defined AO operating model, with clear roles, responsibilities, and interfaces between ecosystem partners.
The AO operating model is consistently applied across most functions.
There is a formal process for managing the AO lifecycle.",2.2.3.4,"The organization has an advanced AO operating model, with well-established processes and closed-loop automation capability for agile design and deployment of use cases.

The AO operating model is continuously optimized based on feedback from its ecosystem and data-driven insights.
The organization has a dedicated team responsible for managing AO.",2.2.3.5,"The organization has an optimized AO operating model that is continuously improving and adapting to changing business needs and stakeholder feedback.
Data analytics and AI/ML capabilities are fully applied in the operations of the organization and its ecosystem partners.
AO is seamlessly embedded into overall organizational strategy and continuously optimizing AI/ML. Use case initiatives with feedback loops to ensure continuous operation of AO.",2.2.3,2.2.3
2.2.4,2.2.4.1,"There is no clear  definition of AO initiatives, within the organization, therefore Stakeholder Management techniques are not applied in that context",2.2.4.2,"The organization has started to define one or more AO initiatives, and some Stakeholder Management techniques are being considered",2.2.4.3,The organization is applying Stakeholder Management techniques in most or all AO initatives,2.2.4.4,"The organization makes extensive use of Stakeholder Management techniques as a critical success factor to achieve successful delivery of any project, programme or activity that contributes to AO",2.2.4.5,"The organization in collaboration with its ecosystem partners makes extensive use of Stakeholder Management techniques as a critical success factor to achieve successful delivery of any project, programme or activity that contributes to AO",2.2.4,2.2.4
2.3.1,2.3.1.1,The organization does not have any investment plan related to AO initiatives,2.3.1.2,The organization has started working on the development of an investment plan related to one or more AO initiatives,2.3.1.3,The organization has already  developed and agreed on an investment plan related to one or more AO initiatives,2.3.1.4,The organization has developed and agreed on an Investment Plan to ensure a rational deployment of financial resources in support of all of its AO initiatives,2.3.1.5,The organization in collaboration with its ecosystem partners has developed and agreed on an Investment Plan to ensure a rational deployment of financial resources in support of all of its AO initiatives,2.3.1,2.3.1
2.3.2,2.3.2.1,"The organization does not have a formal process for funding AO innovation. Funding decisions are made on an ad-hoc basis, and there is no centralized budget or designated team responsible for managing AO innovation.",2.3.2.2,"The organization has an informal process for funding AO innovation. There may be a designated team responsible for managing AO innovation, but funding decisions are still made on an ad-hoc basis. The focus is on identifying opportunities for AO innovation and securing funding on a case-by-case basis.",2.3.2.3,"The organization has a structured process for funding AO innovation. The process includes a centralized budget, designated team responsible for managing AO innovation, and clearly defined criteria for evaluating and prioritizing AO initiatives. Funding decisions are made through a formal review process, and projects are selected based on strategic alignment and potential impact.",2.3.2.4,"The process for funding AO innovation is integrated into the organization's overall innovation strategy. AO innovation is not considered in isolation but as part of a broader innovation portfolio. The organization has a dedicated team responsible for managing the innovation portfolio, and funding decisions are made based on the potential impact on the organization's overall strategic goals.",2.3.2.5,"The organization continuously evaluates and improves its process for funding AO innovation. The process is flexible and adaptable to changing business needs and emerging technologies. The organization has a culture of experimentation and continuous learning, and feedback is regularly solicited from all stakeholders to inform future funding decisions. The focus is on optimizing the process to achieve the best possible outcomes for the organization.",2.3.2,2.3.2
2.3.3,2.3.3.1,"There is no clear  definition of AO initiatives, within the organization, therefore evaluating investments related to AO initiatives is out of scope at present",2.3.3.2,The organization has started evaluating investments for one or more AO initiatives,2.3.3.3,"The organization is applying investments evaluation methods for most or all AO initatives	",2.3.3.4,"The organization applies one or more investment evaluation methods to assess critical factors such as ROI, risk, liquidity, tax benefits and convenience, to ensure AO related investments are aligned with agreed goals and business performance levels",2.3.3.5,"The organization, in collaboration with its ecosystem partners applies one or more investment evaluation methods to assess critical factors such as ROI, risk, liquidity, tax benefits and convenience, to ensure AO related investments are aligned with agreed goals and business performance levels",2.3.3,2.3.3
2.4.1,2.4.1.1,The organization does not have a performance measurement methodology in place. AO Performance measurement is therefore ad-hoc.,2.4.1.2,"The organization is currently developing or adopting a performance measurement methodology, and has started to apply some performance measures for AO.	",2.4.1.3,"The organization has already developed or adopted a primary performance measurement methodology, which it applies to measure most aspects of its AO.",2.4.1.4,"The organization has a solid autonomous operations Performance Measurement methodology in place, to ensure that AO meets contractual performance requirements.",2.4.1.5,"The organization in collaboration with its ecosystem partners, has a solid autonomous operations Performance Measurement methodology in place, to ensure that AO meets contractual performance  requirements.",2.4.1,2.4.1
2.4.2,2.4.2.1,The organization does not have a program governance in place related to any potential AO initiatives,2.4.2.2,The organization has started to put some Program Governance in place related to one or more AO initiatives,2.4.2.3,"The organization has established a primary AO Program Governance in place, related to most AO initiatives",2.4.2.4,"AO Program Governance is well represented in the organization as part of the broader Corporate Governance, it is headed by executives and representatives of the AO function.",2.4.2.5,"AO Program Governance is well represented in the organization as well as all of its ecosystem partners, as part of the broader Corporate Governance, it is headed by executives and representatives of the AO function.",2.4.2,2.4.2
