capability_id,question_id
5.3.2,3.1.5
5.4.1,3.3.2
5.4.2,3.3.2
5.5.1,3.1.5
5.5.2,3.1.5
5.6.1,3.1.2
5.6.2,3.1.2
5.7.1,3.1.4
5.7.2,3.1.2
5.7.3,3.1.2
5.8.1,3.1.5
5.8.2,3.1.5
5.8.3,3.1.5
5.8.4,3.1.5
5.8.5,3.1.5
5.9.1,3.1.5
5.9.2,3.1.5
5.9.3,3.1.5
6.1.1,4.1.1
6.1.2,4.1.1
6.1.3,4.1.2
6.2.1,4.1.2
6.3.1,4.2.1
6.3.2,4.2.1
6.3.3,4.2.2
6.3.4,4.2.2
6.3.5,4.2.2
6.3.6,2.4.5
6.3.7,4.1.1
6.3.8,4.1.2
6.4.1,4.2.1
6.4.2,4.2.1
6.4.3,3.4.4
6.4.4,3.4.4
6.4.5,3.4.4
6.5.1,3.4.4
6.6.1,3.4.4
6.6.2,3.4.4
6.6.3,3.4.4
6.6.4,3.4.4
6.6.5,4.2.1
6.7.1,4.2.2
6.8.1,3.4.4
6.9.1,4.1.1
10.1.1,4.1.2
10.1.2,4.2.1
10.1.3,4.2.3
10.2.1,4.1.1
10.2.2,4.1.3
10.6.1,4.3.2
10.6.2,4.3.3
10.6.3,4.3.4
10.6.4,4.2.4
11.1.1,3.4.1
11.11.1,1.1.8
11.13.1,4.4.2
11.14.1,4.4.2
11.14.3,4.4.2
11.18.1,1.1.6
11.19.1,1.4.2
11.19.2,1.4.2
11.2.1,1.2.2
11.2.2,4.4.3
11.22.1,4.2.1
11.22.2,4.2.2
11.23.1,4.2.2
11.23.3,1.1.7
11.3.2,4.4.4
11.38.1,6.1.1
11.38.2,6.1.5
11.38.5,6.3.3
11.38.7,6.1.4
11.38.8,5.5.4
11.41.1,3.2.4
11.41.2,3.2.4
11.41.3,3.2.4
11.42.1,4.1.1
11.42.2,4.1.1
11.42.3,4.1.1
11.42.4,4.1.1
11.42.5,4.1.1
11.42.6,4.1.1
11.42.7,4.1.2
11.42.8,4.1.1
11.42.9,4.1.1
11.42.10,4.1.1
11.42.11,4.1.2
11.42.12,4.1.3
11.42.13,4.1.2
11.43.1,4.1.1
11.43.2,4.1.1
11.43.3,4.1.1
11.43.4,4.1.1
11.43.5,4.1.1
11.43.6,4.1.2
11.43.7,4.1.2
11.43.8,4.1.2
11.43.9,4.1.1
11.43.10,4.1.1
11.44.1,4.1.2
11.44.2,4.1.2
11.44.3,4.1.2
11.44.4,4.1.2
11.44.5,4.1.2
11.9.1,1.1.8
11.9.2,1.1.8
12.2.1,3.2.1
12.2.2,3.2.2
12.2.3,3.2.3
12.2.4,3.2.4
12.3.1,3.3.1
12.3.2,3.3.2
12.3.3,3.3.3
12.3.4,3.3.4
12.3.5,3.3.5
12.3.6,3.3.6
12.3.7,3.3.7
12.4.1,3.4.1
12.4.2,3.4.2
12.4.3,3.4.3
12.4.4,3.4.4
10.3.1,4.3.1
10.3.2,4.3.2
10.3.3,4.3.3
10.3.4,4.3.4
10.3.5,4.2.4
10.4.1,4.3.1
10.4.2,4.3.2
10.4.3,4.3.3
10.4.4,4.3.4
10.4.5,4.2.4
10.5.1,4.3.1
10.5.2,4.3.2
10.5.3,4.3.3
10.5.4,4.3.4
10.5.5,4.2.4
10.7.1,4.3.2
10.7.2,4.3.3
10.7.3,4.3.4
10.7.4,4.2.4
10.8.1,4.3.2
10.8.2,4.3.3
10.8.3,4.3.4
10.8.4,4.2.4
11.20.1,4.2.1
11.20.2,4.2.1
11.30.2,4.4.3
12.5.1,5.1.1
12.5.2,5.1.2
12.5.3,5.1.3
12.5.4,5.1.4
12.6.1,5.2.1
12.6.2,5.2.2
12.6.3,5.2.3
12.6.4,5.2.4
12.7.1,5.3.1
12.7.2,5.3.2
12.7.3,5.3.3
12.8.1,5.4.1
12.8.2,5.4.2
12.8.3,5.4.3
12.9.1,5.5.1
12.9.2,5.5.2
12.9.3,5.5.3
12.9.4,5.5.4
12.9.5,5.5.5
3.10.1,4.6.2
5.10.1,3.1.2
5.10.2,3.1.3
5.10.3,3.1.3
6.10.1,4.1.1
6.10.2,4.1.1
6.10.3,4.1.2
6.11.1,4.1.2
6.12.1,4.2.1
6.12.2,4.2.1
6.12.3,4.2.2
6.12.4,4.2.2
6.12.5,4.2.2
6.12.6,2.4.5
6.12.7,4.1.1
6.12.8,4.1.2
6.13.1,4.2.1
6.13.2,4.2.1
6.13.3,3.4.4
6.13.4,3.4.4
6.13.5,3.4.4
6.14.1,3.4.4
6.15.1,3.4.4
6.15.2,3.4.4
6.15.3,3.4.4
6.15.4,3.4.4
6.15.5,4.2.1
6.16.1,4.2.2
6.17.1,4.1.1
6.17.2,4.1.1
6.17.3,4.1.2
6.18.1,4.1.2
6.19.1,4.2.1
6.19.2,4.2.1
6.19.3,4.2.2
6.19.4,4.2.2
6.19.5,4.2.2
6.19.6,2.4.5
6.19.7,4.1.1
6.19.8,4.1.2
6.20.1,4.2.1
6.20.2,4.2.1
6.20.3,3.4.4
6.20.4,3.4.4
6.20.5,3.4.4
6.21.1,3.4.4
6.22.1,3.4.4
6.22.2,3.4.4
6.22.3,3.4.4
6.22.4,3.4.4
6.22.5,4.2.1
6.23.1,4.2.2
6.24.1,4.2.1
11.15.1,4.4.2
11.15.2,4.4.2
